230201,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
SPEC,3,10,5,5,10,10,7,7,20,20
USL,3.01,10.1,5.02,5.02,10.1,10.1,7.05,7.05,20.2,20.2
LSL,2.99,9.9,4.98,4.98,9.9,9.9,6.95,6.95,19.8,19.8
1,3,9.95,5.003,5,9.99,10.04,6.994,7.005,19.94,20.06
2,3.005,9.95,4.994,5.004,9.97,10.06,6.994,6.996,20,20.02
3,3.002,10.02,4.996,5.001,9.92,10.02,6.994,7,19.93,19.96
4,2.999,9.97,5.002,5,10.04,10.01,7,7.004,19.97,20.02
5,3.005,10.05,5.001,4.996,9.95,9.95,7.001,6.999,20.01,20.06
6,2.996,10.02,4.999,4.998,9.98,9.98,6.997,7.004,20.04,19.99
7,3.005,10.06,5.005,5.001,10.03,9.97,7,7.007,20.07,19.95
8,2.999,10.08,4.995,5.004,9.97,10.01,7.001,7.001,19.94,20.01
9,2.999,9.99,5.001,5,9.99,9.98,7.007,7.003,20.04,19.98
10,3,9.94,5.002,4.997,10.03,9.99,7,7.003,19.99,19.96
11,2.997,9.97,5,5.001,10.02,9.97,6.993,6.996,19.96,20.07
12,2.999,9.99,4.999,5.002,9.92,10.04,6.993,7,20,19.97
13,2.998,10,4.997,5.006,9.99,10.06,7.003,6.994,19.91,20.05
14,2.997,10.01,4.999,5.004,9.92,10.07,7.001,6.998,19.96,19.94
15,2.996,10.01,4.994,5.006,10.07,10.05,6.998,6.999,19.92,19.96
16,2.997,10.05,5.002,5.003,9.98,9.93,6.998,7,19.98,19.94
17,3.007,10.06,5,4.994,9.98,10.01,7.001,7.001,20,20.01
18,2.996,10.07,5.004,5.001,9.93,10.06,7,7.002,20.01,20.05
19,3.003,10.03,4.997,5.003,10.05,10,6.993,7,19.96,20.03
20,2.998,10.01,4.997,4.994,10.08,10.08,7.001,7,20.02,20.02
21,3,10.03,4.995,5.004,10.08,9.94,6.998,7.002,20.04,20.01
22,3.005,10.08,4.998,5.009,10.03,10.01,7.003,6.995,19.97,20
23,3.006,9.99,4.994,4.998,9.98,10.04,7.002,6.996,20.01,20
24,2.998,10.06,4.998,5.002,9.94,9.94,7,6.995,19.91,20.01
25,2.996,10.06,4.999,4.996,9.98,10,6.999,6.993,20.01,20.05
26,2.991,10.07,5.001,5.005,9.99,10.05,6.993,7,19.99,20.01
27,2.999,9.95,4.995,5.002,9.99,9.98,6.999,6.999,20.05,20.02
28,2.996,10.08,5.005,5.001,9.98,9.97,7,6.999,19.96,19.99
29,2.996,10.07,4.999,5.003,10.08,9.93,6.999,7.007,19.99,20.09
30,3.004,9.98,5,4.997,10.06,10.07,7.009,6.991,20.03,19.97
31,3.003,9.99,5.002,4.999,10.04,10.03,6.998,6.998,20,20.01
32,2.996,10,5.002,4.992,9.96,10.04,6.998,7.002,19.96,20.07
