230203,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
SPEC,3,10,5,5,10,10,7,7,20,20
USL,3.01,10.1,5.02,5.02,10.1,10.1,7.05,7.05,20.2,20.2
LSL,2.99,9.9,4.98,4.98,9.9,9.9,6.95,6.95,19.8,19.8
1,3.005,10.01,4.998,5.003,9.99,9.96,6.998,6.994,19.98,20.02
2,3,9.96,5,5.001,10,9.99,7.001,6.998,19.96,19.99
3,3,10.02,4.996,5.002,10.03,10.05,6.999,6.993,19.98,20.04
4,2.996,9.99,4.999,5.003,9.98,9.98,7.004,6.998,19.94,20.07
5,3,9.95,4.999,5.002,10.08,10.03,7.005,6.994,19.98,20.01
6,2.998,10.06,5.002,4.991,9.96,10.02,7.002,6.999,20.01,19.98
7,2.999,9.96,5,5.001,9.99,9.96,7,6.999,20.02,20
8,2.999,10.04,5.001,4.993,9.95,10,7.005,7.003,20.07,20
9,2.998,10.04,4.999,5,9.93,10.02,6.998,6.999,20.01,20.04
10,2.997,9.96,5.005,5.001,10.03,10.02,6.998,6.999,19.97,20.03
11,3.001,9.93,4.995,4.997,9.98,10,7.001,7.002,19.97,19.97
12,2.999,10.02,4.999,4.998,9.91,10,7,6.995,19.94,19.92
13,3.002,9.99,5,5.003,10.03,9.96,6.997,7,20.01,20.06
14,2.996,9.96,4.995,4.997,10.04,10.01,6.997,6.995,19.99,19.96
15,3,10,5.003,5,10,10.05,7.002,7,20.02,20.05
16,3.003,10.06,5.001,5.006,10.06,10.04,7.003,6.998,19.94,20
17,3.002,9.96,4.994,5.003,9.93,10,6.998,6.998,19.99,19.94
18,2.996,10.03,5,4.997,9.98,10.02,7.003,6.995,19.91,20.02
19,3.003,10.01,4.992,4.999,10,9.98,6.999,7.001,19.95,19.96
20,2.997,10.06,5,4.994,9.99,10,6.994,7.008,20.01,19.97
21,3.002,10,4.997,5.002,9.99,10,7.003,6.995,20.06,19.93
22,2.997,10.05,5,4.999,10.06,9.95,7.001,6.996,19.95,20.01
23,3.004,10.02,5.004,4.999,9.98,10.02,7.006,6.996,20.06,19.97
24,2.996,9.94,5.003,4.994,9.97,10,7.008,7.002,19.98,19.98
25,2.999,10.01,4.998,5.002,9.96,9.97,7,6.999,20.03,20
26,3.002,9.97,5.002,4.998,10.05,9.99,7,7,19.99,20.01
27,3.003,9.99,5.006,4.996,10.01,10,6.993,7,19.99,19.96
28,2.996,10.05,4.997,5.002,9.98,9.96,7.004,7.002,20.01,19.96
29,2.992,10,5.001,4.994,10.03,9.94,7.002,7.006,19.95,19.94
30,2.994,10,5.001,4.999,10.01,10.06,6.998,7.009,19.95,20.09
31,2.998,10.01,4.999,5,9.98,10.01,6.999,7,20.04,19.97
32,3.002,10.01,4.999,4.996,9.97,9.98,7.006,6.995,20.04,20.07
