230208,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
SPEC,3,10,5,5,10,10,7,7,20,20
USL,3.01,10.1,5.02,5.02,10.1,10.1,7.05,7.05,20.2,20.2
LSL,2.99,9.9,4.98,4.98,9.9,9.9,6.95,6.95,19.8,19.8
1,3,10.01,5.001,5.003,10.07,9.97,7,7,19.92,19.97
2,3,9.96,5,4.993,9.97,10.03,6.995,6.995,20.04,20.05
3,2.997,9.95,5.002,5.006,9.95,10.01,7,7.004,20.01,19.93
4,3.001,9.99,5.001,4.996,9.96,10.07,7,6.998,19.96,20.08
5,3.001,9.99,5.005,5.003,10.07,9.98,6.998,7.001,19.99,19.97
6,2.997,10.03,5.003,4.996,10.04,9.97,6.999,6.996,20.04,19.94
7,3.001,10.08,5.002,5.007,9.96,9.95,7.003,7.005,20.03,19.93
8,3.003,10.04,5.001,5,10.01,10.03,6.994,7,19.98,19.99
9,2.999,9.98,5.003,5.006,9.95,10.03,7.006,6.994,20,19.99
10,2.995,9.98,5,5.003,9.93,9.93,7.006,7,20,19.96
11,2.996,10.02,5.004,5.009,9.98,9.98,7.003,6.996,20.04,20.05
12,3.001,10.07,5.008,5.007,9.99,10,7.007,7.002,20.04,20
13,2.998,10,5.001,4.996,9.99,10.06,6.997,7.005,19.98,19.93
14,3,9.94,5.006,5.003,9.92,9.99,7.005,7.002,19.97,19.98
15,2.999,10.02,4.996,4.998,9.96,9.99,7.006,6.997,19.98,20.05
16,3.001,10.01,5.001,4.997,10.03,9.98,7.002,6.992,20.07,19.97
17,2.998,9.98,5.005,4.996,9.96,10.02,6.998,7.001,19.97,20
18,2.998,9.95,4.996,4.998,10.04,10.05,7.002,7.006,20.01,20.07
19,3.008,9.99,5.005,4.992,10.05,10.04,6.999,7,20.03,19.96
20,3,10,5,5.006,10.08,10.01,7,7.008,19.92,19.99
21,2.998,9.98,5.003,4.996,10.01,9.99,7.004,7.004,19.99,19.99
22,2.998,9.98,4.997,5.002,9.96,9.96,6.998,7.004,20.01,19.95
23,3.002,10.01,5.004,5.002,9.99,10.01,6.995,7.004,20.05,20.03
24,2.997,9.99,5.001,5.005,9.99,9.98,6.998,6.998,20.03,20
25,3.007,9.96,5,5.002,10.01,10,7.006,6.993,19.98,19.94
26,2.999,10.06,5,4.997,9.92,9.97,7.004,7.004,20.01,20.08
27,2.994,10.03,4.995,5.002,9.97,9.99,6.993,6.997,20.08,19.98
28,2.996,10.06,5.004,5.004,10.01,10.03,7.003,6.994,19.99,20.03
29,2.994,9.99,5.004,5.002,10,10.01,6.999,7.002,20,19.98
30,2.999,10.03,4.998,4.991,10.07,9.95,7.001,6.994,20.01,19.97
31,3.005,9.96,4.994,5.003,9.98,9.98,7.003,7.002,20.05,19.92
32,3.007,10,5.001,5.004,9.95,10.03,7.001,7,20.07,20.07
