230207,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
SPEC,3,10,5,5,10,10,7,7,20,20
USL,3.01,10.1,5.02,5.02,10.1,10.1,7.05,7.05,20.2,20.2
LSL,2.99,9.9,4.98,4.98,9.9,9.9,6.95,6.95,19.8,19.8
1,3.009,9.96,5.001,5.002,9.94,9.98,7.008,6.999,20,20.01
2,3.001,9.94,5.003,5.005,10.08,9.97,7,7,20,20
3,2.998,9.92,4.999,5.007,10.02,10.03,7.005,6.994,20.02,20
4,3.001,9.95,5.008,4.998,10.01,9.99,7.007,7.001,20,20.03
5,2.997,9.95,4.998,4.994,9.97,9.98,6.993,7.004,20.03,19.94
6,2.999,9.97,4.999,5.001,10.02,9.97,6.994,6.997,20.05,20.04
7,3.002,10.07,4.997,4.999,10.03,10,6.998,6.997,20.03,19.95
8,2.994,9.98,5,5.005,10.05,9.98,7.006,6.994,19.99,20.04
9,3.003,9.97,4.997,4.995,10.02,9.98,7.003,7.002,19.91,20.03
10,2.999,9.97,4.999,5.001,9.94,10.08,6.995,6.998,20,19.94
11,2.996,10,4.996,5.002,9.98,10.02,6.992,7.004,20.05,19.96
12,2.998,9.99,5.002,4.991,9.96,9.95,6.991,6.997,20.01,20.04
13,3.008,10.07,5.002,4.996,10.07,9.97,6.996,7.001,19.94,19.97
14,3,10.08,5.003,4.997,10.03,9.93,7.009,7.003,20.01,19.99
15,3.007,10.01,5.009,5.001,10.04,9.99,6.996,6.991,19.97,20.02
16,2.992,10,5.001,4.994,9.93,9.97,6.993,6.996,20.01,20
17,2.999,10.01,4.998,4.999,10,9.97,7.003,6.997,19.97,19.97
18,2.993,9.95,4.999,5.004,9.94,10.07,7,7.005,19.99,20
19,2.996,10.06,5.003,5.003,10.01,9.99,7,7.009,20.01,19.98
20,3.005,10.07,5,5.003,9.98,10.05,6.996,7,20,19.99
21,2.999,9.97,5.004,4.997,10.03,9.99,6.993,6.998,19.99,19.97
22,2.995,9.99,5.007,5,10.04,9.96,7.002,6.999,19.96,20.01
23,2.997,9.92,5.004,5.002,10.06,9.99,7.007,6.999,19.97,19.95
24,3.004,10.04,5.005,5.004,10,9.92,7.003,7.006,20,19.95
25,3.001,10.01,4.999,5,10.02,10.05,7.006,7.002,19.99,20
26,3,10.01,4.999,5.008,10.02,9.94,6.996,7.004,19.99,20
27,2.996,10.03,4.995,4.999,9.94,10.02,6.997,7.001,20,20
28,2.999,9.94,5.005,4.996,10.04,10.01,6.991,6.996,20.03,20.01
29,2.997,9.95,5,5.003,10.01,9.99,6.996,6.991,20.01,20.06
30,3.005,10,5.003,5.001,9.98,9.95,6.998,6.998,20.01,19.94
31,3,10.04,4.994,5.004,9.99,10.03,7.006,7.006,19.99,20.08
32,2.997,9.93,5.004,5.003,9.94,9.94,7.001,6.998,20,20.07
