230202,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
SPEC,3,10,5,5,10,10,7,7,20,20
USL,3.01,10.1,5.02,5.02,10.1,10.1,7.05,7.05,20.2,20.2
LSL,2.99,9.9,4.98,4.98,9.9,9.9,6.95,6.95,19.8,19.8
1,2.999,9.94,5.003,4.997,10.02,9.98,6.996,6.997,20.02,20.07
2,3.008,10.01,5.006,5.002,10.01,9.99,7,6.999,19.99,20.06
3,3.003,10.04,4.997,4.997,9.93,10.03,7.001,7.003,20.03,20.05
4,2.998,10.05,5.001,4.998,10.05,9.93,7,6.998,20.06,20.05
5,3,10.01,5.001,4.998,10,10,7.004,7,19.97,19.93
6,3.005,9.98,5.006,4.998,9.96,9.97,7.001,6.994,20.01,19.94
7,3.004,10,5.004,4.993,10.02,10.06,7.002,6.994,20.01,19.96
8,3,10.05,5.003,5.007,10.01,10.02,6.996,7.002,19.92,19.99
9,3.002,10.01,5.005,4.997,10.07,10,6.998,7.001,19.99,19.92
10,3.002,9.99,5.005,4.992,10.04,10.07,6.999,7.005,20,19.98
11,3,9.94,4.995,4.997,9.94,10.03,6.994,7.001,19.92,19.98
12,2.993,10.01,5.009,4.994,10.02,10.07,6.998,7,19.99,20
13,2.995,10.09,4.999,5.002,9.95,10.01,6.998,6.991,20.01,19.93
14,3.003,10.05,4.997,5.006,10.03,10.08,6.999,6.995,20.04,19.95
15,2.995,10.01,5.001,4.995,10.01,10,6.999,6.994,19.99,19.98
16,3.003,9.96,4.993,5,9.92,9.95,7.002,7.001,19.96,19.98
17,3.003,9.98,4.998,5.001,10.05,9.96,7.004,7.003,20.04,20.02
18,2.999,10.03,5,4.998,9.98,10,7.009,6.999,20,19.91
19,2.993,10.03,5.002,4.997,10.05,10.04,6.995,7.003,20.03,20.05
20,2.999,9.93,5.003,4.993,10.04,10.03,6.994,7,19.95,20
21,3.004,10.08,4.997,4.999,10.02,10.05,6.996,6.996,19.92,20.01
22,3.003,9.92,4.999,5.003,9.98,10.07,6.995,7.007,19.97,19.98
23,2.998,9.97,4.998,4.996,10.06,10,6.995,7.003,20.02,19.95
24,3.002,9.95,5,5.003,10.03,9.96,7.002,7.002,20.01,19.91
25,3.003,9.92,5.002,4.998,10,9.94,7.002,6.994,19.95,20.01
26,2.998,10.06,5.002,5.003,9.97,9.98,6.996,7.003,20.07,20.03
27,3.004,10.01,5.002,5.005,9.96,9.94,6.999,7.002,20.02,19.97
28,2.997,10.06,4.997,5.002,10.01,9.95,6.998,7.002,20.05,20.01
29,2.997,9.99,5,5.003,9.97,10.02,7.007,6.991,20.09,20
30,3,10.03,5.002,4.995,9.96,10,6.995,6.997,20.01,19.96
31,3.007,10.02,5.003,4.993,10,9.95,7.007,7.006,20,19.99
32,3,10.02,4.999,4.997,10.01,10.07,6.993,7,19.99,20.07
