230204,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
SPEC,3,10,5,5,10,10,7,7,20,20
USL,3.01,10.1,5.02,5.02,10.1,10.1,7.05,7.05,20.2,20.2
LSL,2.99,9.9,4.98,4.98,9.9,9.9,6.95,6.95,19.8,19.8
1,2.994,9.98,4.993,5.007,9.95,10.04,6.995,7,20,20.03
2,2.997,9.99,4.997,4.995,9.99,9.97,7.001,7.004,19.95,20.02
3,3.002,9.94,5.004,4.993,9.95,9.96,7.005,6.999,19.95,20.02
4,3,9.96,4.999,5.001,10.02,9.97,6.994,7,20.02,19.95
5,3.003,9.97,4.994,4.999,10.03,9.92,6.997,7.004,20.01,20.03
6,2.999,10.07,4.992,4.997,9.98,9.95,6.998,6.998,20.02,19.98
7,3,10,4.999,4.999,10.03,10.02,7.002,6.999,20.05,20.02
8,2.993,10.04,5.002,4.997,10,9.93,7,6.998,20.03,19.98
9,2.998,10.02,5.002,5.003,9.98,9.98,6.997,7.001,20,20.06
10,3,9.98,5.006,5.002,9.97,10.09,6.994,7.006,19.99,19.98
11,3.001,9.99,4.993,5.001,9.93,10.07,6.999,6.993,20.01,19.92
12,3,9.94,4.994,5.001,10,9.94,6.999,7.005,20.01,20.05
13,3.002,10,4.994,5.004,10.01,9.92,7,7,20.02,19.96
14,3.002,9.99,5.003,4.994,9.95,10.03,6.999,7,20.07,20.02
15,2.998,10.07,4.996,5.002,9.99,10.07,6.996,7.001,20.03,20.04
16,2.993,10.01,5.004,5.001,10,10,7.001,6.996,20.02,19.97
17,2.995,9.97,5.004,4.996,9.99,9.97,6.993,7,20.04,20.04
18,3.009,9.98,4.998,5,10.09,10.01,7.002,7.001,20.01,20.01
19,3.002,10.04,4.997,5.001,10.02,10.02,7.001,6.998,19.96,19.94
20,3.002,10.01,4.993,4.995,10.02,10.06,7,6.996,20.02,20.02
21,3.005,9.92,5.003,4.997,10.01,10.01,6.999,6.996,20.02,20.02
22,3.004,9.99,5,4.998,10.02,9.93,7.006,6.998,20.04,20.05
23,3.006,10.08,4.995,5.004,10.01,10.05,6.996,6.996,19.94,20.01
24,3.008,9.98,5.007,5,10.04,9.97,7.007,7.004,20.08,19.98
25,3.002,9.96,4.998,5.005,9.97,10,6.998,7.006,19.94,19.99
26,2.998,9.93,5.005,5.002,10.07,10,6.997,7.008,19.98,20
27,3.001,9.97,4.999,5,9.94,9.96,6.997,7.001,19.96,19.98
28,2.992,10.01,5.002,5.001,10.09,10.02,7.004,6.995,20.04,19.93
29,2.995,10,4.996,4.996,9.97,9.95,7.001,7,20.01,20.01
30,3.006,9.91,5.001,4.999,9.98,9.96,7.001,6.997,20.02,19.91
31,3,10.06,5.004,5.008,9.98,10.05,6.996,6.996,19.95,20
32,2.997,10.01,4.998,4.997,10.01,10.03,7.001,7.001,20.02,20.08
