230209,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10
SPEC,3,10,5,5,10,10,7,7,20,20
USL,3.01,10.1,5.02,5.02,10.1,10.1,7.05,7.05,20.2,20.2
LSL,2.99,9.9,4.98,4.98,9.9,9.9,6.95,6.95,19.8,19.8
1,2.999,10.02,5.005,5.001,9.98,9.95,6.996,7.001,20.02,20.02
2,3.007,10,5.004,4.997,10.09,10.08,6.997,6.997,20,20.06
3,3.006,10.01,5.001,5.007,10,10.07,7.001,7.005,20.09,20.02
4,3.006,10.01,4.998,4.995,10.01,10.09,6.996,7,19.95,19.96
5,2.998,9.93,4.998,5.006,9.97,9.98,6.999,7.006,20.04,19.94
6,2.998,10.07,4.999,5.002,10.05,9.96,6.999,7.008,20.04,20.01
7,2.999,9.99,4.995,4.997,10,9.95,7.005,7.001,20.07,19.99
8,3.006,9.95,5.001,5.002,9.95,9.96,6.993,7.005,19.93,20.07
9,2.992,9.95,4.999,4.999,9.98,9.94,7.006,7.006,20.03,19.98
10,3,10.02,4.997,5.004,9.93,10.04,7.001,7.006,19.94,20.05
11,3,9.99,5.001,4.997,10,10.03,7,6.999,19.95,19.96
12,3.001,9.94,5.001,4.997,10.01,10.06,6.999,6.996,19.99,20.02
13,3.004,10.04,4.991,4.999,9.93,10.07,7.001,7.005,20,19.95
14,3,10.06,5.001,5.007,10.05,9.94,6.995,7.002,19.98,20
15,2.998,9.95,5.004,4.996,10.03,10.02,7.002,7.003,20.04,19.97
16,3.001,10,4.992,4.993,9.95,10.05,6.997,7.003,20.03,20.01
17,2.998,10.01,4.999,5.002,10.06,9.98,7.006,6.995,20,20
18,2.999,10.07,5.005,5.004,10.01,10.01,6.999,7,19.98,20
19,3.008,10.05,5,5.004,10.03,9.97,7.005,6.998,20.08,20.05
20,3,10.02,5.004,4.998,9.91,10.04,6.993,7.003,20.06,19.98
21,2.999,10.01,5.002,4.996,9.96,10.02,6.993,6.997,19.98,19.98
22,2.999,10.07,4.997,5,9.97,9.98,6.999,6.996,20.01,20.06
23,3.007,9.98,5,4.997,10.02,9.99,6.998,7.004,19.98,19.96
24,3,9.99,4.999,5.001,9.95,9.94,6.995,7.005,20,19.93
25,3.002,10,5,5.005,9.99,10.03,7,6.997,19.98,20.05
26,2.998,10.03,4.996,4.999,9.95,10.04,6.999,7.009,20.07,20.03
27,3.006,9.93,4.995,4.993,10.04,9.91,6.997,6.998,19.96,20
28,2.995,9.93,5.002,4.995,9.94,9.94,6.999,6.998,20.06,19.93
29,3.002,9.94,4.998,5.006,9.99,9.96,7.003,6.998,20.06,20.02
30,2.996,9.91,4.998,4.995,10.01,10.01,7.003,6.993,19.95,19.94
31,2.997,9.97,4.998,5,10.04,10.06,7.002,6.997,20.01,20.03
32,2.995,10.07,4.998,4.998,9.99,10.02,6.997,7.004,20.03,20.07
